"통계분류","항목","단위","1994 년","1995 년","1996 년","2002 년","2004 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2013 년","2015 년","2017 년","2019 년","2021 년",
"40~49세","가정,육아,요리","","","","","","","","","","","0","8.6","7","6.8","6.4","4.1","5",
"40~49세","시","","1.5","2","2.9","4","3.3","2.7","2.5","2.6","3.2","0","","","","","","3.2",
"40~49세","책을 전혀 읽지 않는다","","","","","","","13","8.5","13.2","11.7","0","","","","","","",
"40~49세","선호분야없음","","","","","11.2","9.7","","","","","0","","","","","","",
"40~49세","국내소설","","29","33.6","34.8","","","","","","","0","","","","","","",
"40~49세","추리소설","","3.7","5.6","4.6","4.4","5.1","4.2","2.6","3","4.3","0","","","","","","",
"40~49세","외국소설","","4.7","4.2","5.1","","","","","","","0","","","","","","",
"40~49세","유모어·풍자","","1.5","1.8","3.2","","","","","","","0","","","","","","",
"40~49세","공상과학소설","",".5",".7",".6","","","","","","","0","","","","","","",
"40~49세","과학,기술","","","","","","","","","","","0",".7","","","","","",
"40~49세","시,소설,수필","","","","","","","","","","","0","25.5","","","","","",
"40~49세","무협,판타지,추리소설","","","","","","","","","","","0","5.3","","","","","",
"40~49세","예술,문화","","","","","","","","","","","0","3.4","3.9","3.1","3.3","","",
"40~49세","재테크,부동산","","","","","","","","","","","0","6","4.1","","4.4","","",
"40~49세","역사,지리","","","","","","","","","","","0","1.8","3.2","3.8","3.9","","",
"40~49세","어학,컴퓨터","","","","","","","","","","","0",".8","2","","","","",
"40~49세","문학도서","","","","","46","41.8","34","36.8","45.3","40.6","39","","25.8","25.5","23.2","29.1","",
"40~49세","일반소설","","","","","23.1","18.1","14.4","18.4","24.3","18.6","0","","","","","","",
"40~49세","수기, 전기","","9.1","7.3","10.5","2.4","3.1","1.5","2.4","2.4","2.4","0","","","","","","",
"40~49세","동화","","","","",".3",".2",".2","1.8","1.4","1","0","","","","","","",
"40~49세","다큐멘터리","","4.5","5.6","4.6","1.6","1.6","3.1","1.4","1","1.9","0","","","","","","",
"40~49세","문학외교양","","","","","15.8","20.8","21.7","23.8","16.4","18.2","21.8","","","","","","",
"40~49세","경제, 경영","","3.5","3.3","3.8","3.7","5.1","4.7","6.9","5.5","5.8","0","","","","","","",
"40~49세","종교","","11.6","8.6","6.9","5.5","8.8","8","7.5","5.5","4.6","0","","","","","","",
"40~49세","과학, 기술","",".2",".5","1.4",".9","1.2","1.6","1.1",".2","1.4","0","","","","","","",
"40~49세","예술","","0",".5",".6",".6",".5",".8",".9",".5",".5","0","","","","","","",
"40~49세","법, 정치","","","","",".5","1","1",".9",".8",".5","0","","","","","","",
"40~49세","실용, 취미도서류","","7.9","5.1","3.5","22.3","23.3","26.9","25.8","20.8","24.4","35.2","","","","","","",
"40~49세","요리","","","","","1",".4","1.6","2.1","1.9","1.7","0","","","","","","",
"40~49세","건강, 다이어트","","","","","4.3","4.3","5.5","5.6","3.9","4.8","0","","","","","","",
"40~49세","여성, 육아","","","","","2.1","3.5","3.5","1.2","2.6","3.3","0","","","","","","",
"40~49세","취미","","","","","2","1.6","2.2","2.6","2.9","2.8","0","","","","","","",
"40~49세","연예, 오락","","","","","2.1","2.3","1.1","1.7",".8","1.4","0","","","","","","",
"40~49세","여행","","","","","1.6","1.3","2.1","2.8","1.9","2","0","","","","","","",
"40~49세","스포츠","",".5","1",".3","2.2","4","2.9","1.9","1.4","1.6","0","","","","","","",
"40~49세","컴퓨터","",".7",".3","1.8","1.7","1.1","1.5",".8",".3","1.1","0","","","","","","",
"40~49세","만화, 무협지","","","","","3.8","2.9","3.2","3.8","3.3","4.1","0","","","","","","",
"40~49세","무협지, 판타지소설","","","","","3.4","1.9","2.1","3.5","1.9","3.1","0","","","","","","",
"40~49세","만화","","","","",".4","1","1.1",".4","1.4","1","0","","","","","","",
"40~49세","철학,사상,종교","","","","","","","","","","","0","7.7","10.5","7.3","8.4","7.3","",
"40~49세","기 타","","4.5","2.5","2.6","1","1.5","1.1","1.3","1","1.1","3.9","0","","","","","",
"50대 이상","사례수","","300","290","322","258","21","254","254","277","","0","","","","","","",
"50대 이상","계","","","","","","","","","","","0","","","","","","",
"50대 이상","소설( 장르 소설 포함)","","","","","","","","","","","0","","","","","","",
"50대 이상","수필","","6.9","4.6","5.4","6.2","5.7","5.1","6.3","4.9","","0","","","","","","",
"50대 이상","재테크","","","","","1.4","3.8","2.7","6","4.1","","0","","","","","","",
"50대 이상","철학, 사상, 종교","","5","3.7","3.3","2.5","2.1","2","1.2","1.4","","0","","","","","","",
"50대 이상","자기계발서","","","","","","","","","","","0","","","","","","",
"50대 이상","취미,오락,여행,건강","","","","","","","","","","","0","","","","","","",
"50대 이상","경제,경영","","","","","","","","","","","0","","","","","","",
"50대 이상","정치,사회,시사","","","","","","","","","","","0","","","","","","",
"50대 이상","어학, 외국어","","","","","0",".4",".6",".8",".5","","0","","","","","","",
"50대 이상","역사, 지리","","4.8","5.8","4.6","4.1","2.1","2.9","3.1","2.1","","0","","","","","","",
"50대 이상","가정,육아,요리","","","","","","","","","","","0","","","","","","",
"50대 이상","시","",".7","2.2","3.4","1.2","3.1","2","3.5","1.3","","0","","","","","","",
"50대 이상","책을 전혀 읽지 않는다","","","","","","","28.1","21.1","29.5","","0","","","","","","",
"50대 이상","선호분야없음","","","","","38.4","39.6","","","","","0","","","","","","",
"50대 이상","국내소설","","20.9","24.3","27.8","","","","","","","0","","","","","","",
"50대 이상","추리소설","","2.4","3","5.4","2.9","2.2","2.2","2","2.7","","0","","","","","","",
"50대 이상","외국소설","","4.8","2.6","2.7","","","","","","","0","","","","","","",
"50대 이상","유모어·풍자","","2.5","1.3","3.4","","","","","","","0","","","","","","",
"50대 이상","공상과학소설","",".5",".1","1","","","","","","","0","","","","","","",
"50대 이상","과학,기술","","","","","","","","","","","0","","","","","","",
"50대 이상","시,소설,수필","","","","","","","","","","","0","","","","","","",
"50대 이상","무협,판타지,추리소설","","","","","","","","","","","0","","","","","","",
"50대 이상","예술,문화","","","","","","","","","","","0","","","","","","",
"50대 이상","재테크,부동산","","","","","","","","","","","0","","","","","","",
"50대 이상","역사,지리","","","","","","","","","","","0","","","","","","",
"50대 이상","어학,컴퓨터","","","","","","","","","","","0","","","","","","",
"50대 이상","문학도서","","","","","26.7","22.7","24.5","27.5","25.1","","0","","","","","","",
"50대 이상","일반소설","","","","","13.5","10.4","13.4","11.8","13.1","","0","","","","","","",
"50대 이상","수기, 전기","","9.7","5","5.2","1.5",".3",".4","2.2","1.4","","0","","","","","","",
"50대 이상","동화","","","","","0","0","0",".2",".3","","0","","","","","","",
"50대 이상","다큐멘터리","","3.8","4.1","3.8","1.4","1","1.4","1.7","1.4","","0","","","","","","",
"50대 이상","문학외교양","","","","","19.1","16.7","21.5","23.4","20.4","","0","","","","","","",
"50대 이상","경제, 경영","","2.9","2.6","1.1","3.2","1.5","3.5","6.7","5.4","","0","","","","","","",
"50대 이상","종교","","15.1","12.5","12.5","8.4","9.9","10.8","11.2","9.5","","0","","","","","","",
"50대 이상","과학, 기술","",".7","1.3",".9",".1",".3",".5",".2",".7","","0","","","","","","",
"50대 이상","예술","",".1",".5",".5",".3",".4",".5",".3",".3","","0","","","","","","",
"50대 이상","법, 정치","","","","",".5",".1","1.3",".7",".9","","0","","","","","","",
"50대 이상","실용, 취미도서류","","7.4","3.7","5.7","11.7","17.4","22.9","24.7","21.7","","0","","","","","","",
"50대 이상","요리","","","","","1.1",".6","1.1","1.9","1.8","","0","","","","","","",
"50대 이상","건강, 다이어트","","","","","3.7","4.4","4.9","5","5.8","","0","","","","","","",
"50대 이상","여성, 육아","","","","","1.3",".9","4.2",".3","2.6","","0","","","","","","",
"50대 이상","취미","","","","","1","2","1.9","2.7","1.9","","0","","","","","","",
"50대 이상","연예, 오락","","","","","1.1","2.6","2.1","3","1.7","","0","","","","","","",
"50대 이상","여행","","","","",".5",".8","1.5","2.6","2.2","","0","","","","","","",
"50대 이상","스포츠","",".1","0",".1",".7","1.3","2.7","2.2",".8","","0","","","","","","",
"50대 이상","컴퓨터","",".4","1.1",".5",".9",".6","1.2",".3",".3","","0","","","","","","",
"50대 이상","만화, 무협지","","","","","2.7","2.1","2.5","2.2","1.8","","0","","","","","","",
"50대 이상","무협지, 판타지소설","","","","","2.4","1.7","2.4","1.7","1","","0","","","","","","",
"50대 이상","만화","","","","",".3",".4",".1",".5",".8","","0","","","","","","",
"50대 이상","철학,사상,종교","","","","","","","","","","","0","","","","","","",
"50대 이상","기 타","","3.9","7.6","9.8","1.6","1.3",".6","1","1.5","","0","","","","","","",
"50~59세","사례수","","","","","","","","","","170","115","","238","595","621","518","397",
"50~59세","계","","","","","","","","","","","0","100","100","","100","","",
"50~59세","소설( 장르 소설 포함)","","","","","","","","","","","0","","7.6","11.2","10.8","11.9","24.3",
"50~59세","수필","","","","","","","","","","5.7","0","","","","","","13.6",
"50~59세","재테크","","","","","","","","","","4.4","0","","","","","","9.8",
"50~59세","철학, 사상, 종교","","","","","","","","","","1.3","0","","","","","","8",
"50~59세","자기계발서","","","","","","","","","","","0","4.9","4.8","7.4","8.2","8.9","5.4",
"50~59세","취미,오락,여행,건강","","","","","","","","","","","0","21.1","12","12.4","11.8","12.8","7.8",
"50~59세","경제,경영","","","","","","","","","","","0","8.3","8.2","6.4","8.2","7","8.8",
"50~59세","정치,사회,시사","","","","","","","","","","","0","7.8","6.3","3.5","6.2","4.7","7",
"50~59세","어학, 외국어","","","","","","","","","",".1","0","","","","1.2","","1.6",
"50~59세","역사, 지리","","","","","","","","","","1.4","0","","","","","","4",
"50~59세","가정,육아,요리","","","","","","","","","","","0","7","5.3","5.1","4","2.8","3.7",
"50~59세","시","","","","","","","","","","5","0","","","","","","3.3",
"50~59세","책을 전혀 읽지 않는다","","","","","","","","","","25.2","0","","","","","","",
"50~59세","선호분야없음","","","","","","","","","","","0","","","","","","",
"50~59세","국내소설","","","","","","","","","","","0","","","","","","",
"50~59세","추리소설","","","","","","","","","","4.8","0","","","","","","",
"50~59세","외국소설","","","","","","","","","","","0","","","","","","",
"50~59세","유모어·풍자","","","","","","","","","","","0","","","","","","",
"50~59세","공상과학소설","","","","","","","","","","","0","","","","","","",
"50~59세","과학,기술","","","","","","","","","","","0",".6","","","","","",
"50~59세","시,소설,수필","","","","","","","","","","","0","22","","","","","",
"50~59세","무협,판타지,추리소설","","","","","","","","","","","0","4.7","","","","","",
"50~59세","예술,문화","","","","","","","","","","","0","3.2","3.6","3.3","4.2","","",
"50~59세","재테크,부동산","","","","","","","","","","","0","5.7","5.9","","2.5","","",
"50~59세","역사,지리","","","","","","","","","","","0","2.7","2.1","2.7","5.1","","",
"50~59세","어학,컴퓨터","","","","","","","","","","","0",".7",".9","","","","",
"50~59세","문학도서","","","","","","","","","","36.6","37.7","","27.1","30.6","24.6","29.4","",
"50~59세","일반소설","","","","","","","","","","13.2","0","","","","","","",
"50~59세","수기, 전기","","","","","","","","","","3.2","0","","","","","","",
"50~59세","동화","","","","","","","","","",".8","0","","","","","","",
"50~59세","다큐멘터리","","","","","","","","","","4","0","","","","","","",
"50~59세","문학외교양","","","","","","","","","","13.9","21","","","","","","",
"50~59세","경제, 경영","","","","","","","","","","1.5","0","","","","","","",
"50~59세","종교","","","","","","","","","","8.3","0","","","","","","",
"50~59세","과학, 기술","","","","","","","","","",".4","0","","","","","","",
"50~59세","예술","","","","","","","","","",".5","0","","","","","","",
"50~59세","법, 정치","","","","","","","","","",".5","0","","","","","","",
"50~59세","실용, 취미도서류","","","","","","","","","","22.1","37.7","","","","","","",
"50~59세","요리","","","","","","","","","","1.8","0","","","","","","",
"50~59세","건강, 다이어트","","","","","","","","","","5.4","0","","","","","","",
"50~59세","여성, 육아","","","","","","","","","","1.8","0","","","","","","",
"50~59세","취미","","","","","","","","","","3.1","0","","","","","","",
"50~59세","연예, 오락","","","","","","","","","","1.7","0","","","","","","",
"50~59세","여행","","","","","","","","","","1.4","0","","","","","","",
"50~59세","스포츠","","","","","","","","","","1.8","0","","","","","","",
"50~59세","컴퓨터","","","","","","","","","",".5","0","","","","","","",
"50~59세","만화, 무협지","","","","","","","","","","2.2","0","","","","","","",
"50~59세","무협지, 판타지소설","","","","","","","","","","2.2","0","","","","","","",
"50~59세","만화","","","","","","","","","","0","0","","","","","","",
"50~59세","철학,사상,종교","","","","","","","","","","","0","11","14.8","12.5","11.7","11.6","",
"50~59세","기 타","","","","","","","","","","0","3.6",".3","","","","","",
"60대","사례수","","","","","","","","","","107","44","","200","","","","",
"60대","계","","","","","","","","","","","0","","100","","","","",
"60대","소설( 장르 소설 포함)","","","","","","","","","","","0","","7.5","","","","",
"60대","수필","","","","","","","","","","6","0","","","","","","",
"60대","재테크","","","","","","","","","","3.1","0","","","","","","",
"60대","철학, 사상, 종교","","","","","","","","","","1.2","0","","","","","","",
"60대","자기계발서","","","","","","","","","","","0","","4","","","","",
"60대","취미,오락,여행,건강","","","","","","","","","","","0","","16.7","","","","",
"60대","경제,경영","","","","","","","","","","","0","","5.7","","","","",
"60대","정치,사회,시사","","","","","","","","","","","0","","4.5","","","","",
"60대","어학, 외국어","","","","","","","","","","0","0","","","","","","",
"60대","역사, 지리","","","","","","","","","","1","0","","","","","","",
"60대","가정,육아,요리","","","","","","","","","","","0","","4.1","","","","",
"60대","시","","","","","","","","","","1.7","0","","","","","","",
"60대","책을 전혀 읽지 않는다","","","","","","","","","","47.9","0","","","","","","",
"60대","선호분야없음","","","","","","","","","","","0","","","","","","",
"60대","국내소설","","","","","","","","","","","0","","","","","","",
"60대","추리소설","","","","","","","","","","1.7","0","","","","","","",
"60대","외국소설","","","","","","","","","","","0","","","","","","",
"60대","유모어·풍자","","","","","","","","","","","0","","","","","","",
"60대","공상과학소설","","","","","","","","","","","0","","","","","","",
"60대","과학,기술","","","","","","","","","","","0","","","","","","",
"60대","시,소설,수필","","","","","","","","","","","0","","","","","","",
"60대","무협,판타지,추리소설","","","","","","","","","","","0","","","","","","",
"60대","예술,문화","","","","","","","","","","","0","","2.5","","","","",
"60대","재테크,부동산","","","","","","","","","","","0","","3.2","","","","",
"60대","역사,지리","","","","","","","","","","","0","","4","","","","",
"60대","어학,컴퓨터","","","","","","","","","","","0","",".2","","","","",
"60대","문학도서","","","","","","","","","","25.7","32.5","","24.6","","","","",
"60대","일반소설","","","","","","","","","","10.2","0","","","","","","",
"60대","수기, 전기","","","","","","","","","","3.1","0","","","","","","",
"60대","동화","","","","","","","","","","1.2","0","","","","","","",
"60대","다큐멘터리","","","","","","","","","","1.9","0","","","","","","",
"60대","문학외교양","","","","","","","","","","13.8","34.9","","","","","","",
"60대","경제, 경영","","","","","","","","","","1.4","0","","","","","","",
"60대","종교","","","","","","","","","","7.6","0","","","","","","",
"60대","과학, 기술","","","","","","","","","","1.7","0","","","","","","",
"60대","예술","","","","","","","","","","0","0","","","","","","",
"60대","법, 정치","","","","","","","","","","1","0","","","","","","",
"60대","실용, 취미도서류","","","","","","","","","","11.2","28.2","","","","","","",
"60대","요리","","","","","","","","","",".2","0","","","","","","",
"60대","건강, 다이어트","","","","","","","","","","3.3","0","","","","","","",
"60대","여성, 육아","","","","","","","","","",".2","0","","","","","","",
"60대","취미","","","","","","","","","","1.2","0","","","","","","",
"60대","연예, 오락","","","","","","","","","",".7","0","","","","","","",
"60대","여행","","","","","","","","","","1.4","0","","","","","","",
"60대","스포츠","","","","","","","","","","1","0","","","","","","",
"60대","컴퓨터","","","","","","","","","","0","0","","","","","","",
"60대","만화, 무협지","","","","","","","","","","1.4","0","","","","","","",
"60대","무협지, 판타지소설","","","","","","","","","","1.4","0","","","","","","",
"60대","만화","","","","","","","","","","0","0","","","","","","",
"60대","철학,사상,종교","","","","","","","","","","","0","","22.1","","","","",
"60대","기 타","","","","","","","","","","0","4.4","","","","","","",
"60세 이상","사례수","","","","","","","","","","","","","","421","693","495","392",
"60세 이상","계","","","","","","","","","","","","100","","","100","","",
"60세 이상","소설( 장르 소설 포함)","","","","","","","","","","","","","","7","8.8","8.6","16.5",
"60세 이상","수필","","","","","","","","","","","","","","","","","12.3",
"60세 이상","재테크","","","","","","","","","","","","","","","","","3",
"60세 이상","철학, 사상, 종교","","","","","","","","","","","","","","","","","22.8",
"60세 이상","자기계발서","","","","","","","","","","","","7.2","","5.7","7.9","5","4.2",
"60세 이상","취미,오락,여행,건강","","","","","","","","","","","","26.4","","10.8","12.8","12.3","9.1",
"60세 이상","경제,경영","","","","","","","","","","","","4.9","","6.1","5.9","6.2","4.4",
"60세 이상","정치,사회,시사","","","","","","","","","","","","7","","5.9","5.9","3.9","7.8",
"60세 이상","어학, 외국어","","","","","","","","","","","","","","",".3","",".2",
"60세 이상","역사, 지리","","","","","","","","","","","","","","","","","7",
"60세 이상","가정,육아,요리","","","","","","","","","","","","6.4","","3","3.1","2.1","2.9",
"60세 이상","시","","","","","","","","","","","","","","","","","6.8",
"60세 이상","과학,기술","","","","","","","","","","","",".4","","","","","",
"60세 이상","시,소설,수필","","","","","","","","","","","","17.5","","","","","",
"60세 이상","무협,판타지,추리소설","","","","","","","","","","","","2.2","","","","","",
"60세 이상","예술,문화","","","","","","","","","","","","3.9","","4.1","3.3","","",
"60세 이상","재테크,부동산","","","","","","","","","","","","2.3","","","2","","",
"60세 이상","역사,지리","","","","","","","","","","","","4.3","","6.3","4.6","","",
"60세 이상","어학,컴퓨터","","","","","","","","","","","","0","","","","","",
"60세 이상","문학도서","","","","","","","","","","","","","","25.4","22.8","27.6","",
"60세 이상","철학,사상,종교","","","","","","","","","","","","16.4","","20.8","21.4","24","",
"60세 이상","기 타","","","","","","","","","","","","1","","","","","",
"중졸 이하","사례수","","","","260","155","129","116","","","","38","","96","279","443","","",
"중졸 이하","계","","","","","","","","","","","0","100","100","","100","","",
"중졸 이하","소설( 장르 소설 포함)","","","","","","","","","","","0","","8.9","7.2","8.7","","",
"중졸 이하","수필","","","","5.4","3.2","1.9","2.8","","","","0","","","","","","",
"중졸 이하","재테크","","","","","2.3","1.5","1.6","","","","0","","","","","","",
"중졸 이하","철학, 사상, 종교","","","","2.8","1.1",".6",".2","","","","0","","","","","","",
"중졸 이하","자기계발서","","","","","","","","","","","0","7.8","4","6.2","7.8","","",
"중졸 이하","취미,오락,여행,건강","","","","","","","","","","","0","25","18","13.2","12.1","","",
"중졸 이하","경제,경영","","","","","","","","","","","0","3.3","5.8","5.8","5.1","","",
"중졸 이하","정치,사회,시사","","","","","","","","","","","0","4.6","1.9","3.6","5.7","","",
"중졸 이하","어학, 외국어","","","","","0","0","0","","","","0","","","",".3","","",
"중졸 이하","역사, 지리","","","","2.1","2.1",".6","1.4","","","","0","","","","","","",
"중졸 이하","가정,육아,요리","","","","","","","","","","","0","9.2","6.8","4.7","3.8","","",
"중졸 이하","시","","","","4.1","1.8","1.3","1.1","","","","0","","","","","","",
"중졸 이하","책을 전혀 읽지 않는다","","","","","","","49.7","","","","0","","","","","","",
"중졸 이하","선호분야없음","","","","","52.3","53","","","","","0","","","","","","",
"중졸 이하","국내소설","","","","27.6","","","","","","","0","","","","","","",
"중졸 이하","추리소설","","","","4.5","2.3","1.3","1.6","","","","0","","","","","","",
"중졸 이하","외국소설","","","","1.4","","","","","","","0","","","","","","",
"중졸 이하","유모어·풍자","","","","4.1","","","","","","","0","","","","","","",
"중졸 이하","공상과학소설","","","",".9","","","","","","","0","","","","","","",
"중졸 이하","과학,기술","","","","","","","","","","","0",".6","","","","","",
"중졸 이하","시,소설,수필","","","","","","","","","","","0","21.6","","","","","",
"중졸 이하","무협,판타지,추리소설","","","","","","","","","","","0","2.6","","","","","",
"중졸 이하","예술,문화","","","","","","","","","","","0","6","3","3.8","3.3","","",
"중졸 이하","재테크,부동산","","","","","","","","","","","0","2.7","4","","2.2","","",
"중졸 이하","역사,지리","","","","","","","","","","","0","1.8","2.9","4.5","4.7","","",
"중졸 이하","어학,컴퓨터","","","","","","","","","","","0",".6",".3","","","","",
"중졸 이하","문학도서","","","","","15.5","12.7","14.8","","","","37","","23.9","27.5","22.7","","",
"중졸 이하","일반소설","","","","","7.5","6.3","8.3","","","","0","","","","","","",
"중졸 이하","수기, 전기","","","","6.8",".7",".9",".5","","","","0","","","","","","",
"중졸 이하","동화","","","","","0",".4","0","","","","0","","","","","","",
"중졸 이하","다큐멘터리","","","","3.1","0",".6",".5","","","","0","","","","","","",
"중졸 이하","문학외교양","","","","","15.7","15.8","11","","","","17.8","","","","","","",
"중졸 이하","경제, 경영","","","",".9","2.3","1.3",".2","","","","0","","","","","","",
"중졸 이하","종교","","","","14.6","10","12.7","9.2","","","","0","","","","","","",
"중졸 이하","과학, 기술","","","",".1","0","0","0","","","","0","","","","","","",
"중졸 이하","예술","","","","1.1","0",".6","0","","","","0","","","","","","",
"중졸 이하","법, 정치","","","","",".2","0","0","","","","0","","","","","","",
"중졸 이하","실용, 취미도서류","","","","5.7","13.1","12.9","19.8","","","","33.8","","","","","","",
"중졸 이하","요리","","","","","2.3",".6","1.4","","","","0","","","","","","",
"중졸 이하","건강, 다이어트","","","","","3.2","3","3.9","","","","0","","","","","","",
"중졸 이하","여성, 육아","","","","","1.1","1.7","5.1","","","","0","","","","","","",
"중졸 이하","취미","","","","",".4","1.1","2.5","","","","0","","","","","","",
"중졸 이하","연예, 오락","","","","","2","3.2","2.1","","","","0","","","","","","",
"중졸 이하","여행","","","","","0",".6",".9","","","","0","","","","","","",
"중졸 이하","스포츠","","","",".1",".9",".6","2.1","","","","0","","","","","","",
"중졸 이하","컴퓨터","","","",".3",".9",".6",".2","","","","0","","","","","","",
"중졸 이하","만화, 무협지","","","","","2.3","3.8","4.1","","","","0","","","","","","",
"중졸 이하","무협지, 판타지소설","","","","","1.2","1.9","3.4","","","","0","","","","","","",
"중졸 이하","만화","","","","","1.1","1.9",".7","","","","0","","","","","","",
"중졸 이하","철학,사상,종교","","","","","","","","","","","0","13.3","19.5","18.7","22.6","","",
"중졸 이하","기 타","","","","10.8","1.2","1.3",".7","","","","11.4",".8","","","","","",
"고졸","사례수","","","","621","521","419","393","","","","244","","496","1179","1045","","",
"고졸","계","","","","","","","","","","","0","100","100","","100","","",
"고졸","소설( 장르 소설 포함)","","","","","","","","","","","0","","9.6","12.9","13.2","","",
"고졸","수필","","","","6.4","8.3","8.4","7.1","","","","0","","","","","","",
"고졸","재테크","","","","","1.7","2.8","2.6","","","","0","","","","","","",
"고졸","철학, 사상, 종교","","","","2.2","1.4","2.5","1.8","","","","0","","","","","","",
"고졸","자기계발서","","","","","","","","","","","0","5.8","6.6","7.8","8.1","","",
"고졸","취미,오락,여행,건강","","","","","","","","","","","0","23.9","13.5","12.9","12.2","","",
"고졸","경제,경영","","","","","","","","","","","0","5.6","6.1","6.4","7.3","","",
"고졸","정치,사회,시사","","","","","","","","","","","0","5.2","3.8","3.5","4.2","","",
"고졸","어학, 외국어","","","","","0",".3","1","","","","0","","","","1.6","","",
"고졸","역사, 지리","","","","3","2.1","2","1.5","","","","0","","","","","","",
"고졸","가정,육아,요리","","","","","","","","","","","0","8.1","7.1","6.1","5.7","","",
"고졸","시","","","","3.1","3.8","2.8","2.4","","","","0","","","","","","",
"고졸","책을 전혀 읽지 않는다","","","","","","","16.1","","","","0","","","","","","",
"고졸","선호분야없음","","","","","12.5","12.2","","","","","0","","","","","","",
"고졸","국내소설","","","","35.7","","","","","","","0","","","","","","",
"고졸","추리소설","","","","7.9","6.6","6.2","4","","","","0","","","","","","",
"고졸","외국소설","","","","8.1","","","","","","","0","","","","","","",
"고졸","유모어·풍자","","","","2.5","","","","","","","0","","","","","","",
"고졸","공상과학소설","","","","1.8","","","","","","","0","","","","","","",
"고졸","과학,기술","","","","","","","","","","","0",".8","","","","","",
"고졸","시,소설,수필","","","","","","","","","","","0","24","","","","","",
"고졸","무협,판타지,추리소설","","","","","","","","","","","0","7.3","","","","","",
"고졸","예술,문화","","","","","","","","","","","0","3.3","3.4","3.2","4.2","","",
"고졸","재테크,부동산","","","","","","","","","","","0","4.5","3.5","","3","","",
"고졸","역사,지리","","","","","","","","","","","0","2.3","3","3.5","3.6","","",
"고졸","어학,컴퓨터","","","","","","","","","","","0",".6","1","","","","",
"고졸","문학도서","","","","","48.1","43.5","34.5","","","","40.3","","28.3","27.7","24.9","","",
"고졸","일반소설","","","","","25.7","22.2","16.9","","","","0","","","","","","",
"고졸","수기, 전기","","","","7.1","1.7","2.2","1.5","","","","0","","","","","","",
"고졸","동화","","","","",".3",".3",".1","","","","0","","","","","","",
"고졸","다큐멘터리","","","","4.1","1.7","1.4","2.5","","","","0","","","","","","",
"고졸","문학외교양","","","","","10.5","13","14.7","","","","17.2","","","","","","",
"고졸","경제, 경영","","","","2.3","1.8","2.1","3.7","","","","0","","","","","","",
"고졸","종교","","","","5.4","3.8","5.4","5.8","","","","0","","","","","","",
"고졸","과학, 기술","","","",".7",".3",".6",".5","","","","0","","","","","","",
"고졸","예술","","","",".3",".8",".4",".5","","","","0","","","","","","",
"고졸","법, 정치","","","","",".3","0",".9","","","","0","","","","","","",
"고졸","실용, 취미도서류","","","","3.7","18","22.5","26.9","","","","37.8","","","","","","",
"고졸","요리","","","","","1.2","1.3","1.7","","","","0","","","","","","",
"고졸","건강, 다이어트","","","","","3.7","3.9","5.5","","","","0","","","","","","",
"고졸","여성, 육아","","","","","2.2","3.2","5.6","","","","0","","","","","","",
"고졸","취미","","","","","1.6","1.5","2.3","","","","0","","","","","","",
"고졸","연예, 오락","","","","","3.5","3.9","2.7","","","","0","","","","","","",
"고졸","여행","","","","",".8","1.3","1.4","","","","0","","","","","","",
"고졸","스포츠","","","",".4","2.1","3.2","2.5","","","","0","","","","","","",
"고졸","컴퓨터","","","","1.6","1.2","1.1","1.6","","","","0","","","","","","",
"고졸","만화, 무협지","","","","","9.4","8.1","7.3","","","","0","","","","","","",
"고졸","무협지, 판타지소설","","","","","5.2","4.2","4.9","","","","0","","","","","","",
"고졸","만화","","","","","4.2","3.9","2.4","","","","0","","","","","","",
"고졸","철학,사상,종교","","","","","","","","","","","0","8.5","13.3","11","10.6","","",
"고졸","기 타","","","","1.6","1.5",".8",".5","","","","4.7",".1","","","","","",
"대재이상","사례수","","","","319","524","452","491","","","","421","","846","1809","2104","","",
"대재이상","계","","","","","","","","","","","0","100","100","","100","","",
"대재이상","소설( 장르 소설 포함)","","","","","","","","","","","0","","10.7","13.5","13.8","","",
"대재이상","수필","","","","7.1","9.2","8.4","7.9","","","","0","","","","","","",
"대재이상","재테크","","","","","1.7","4.2","4","","","","0","","","","","","",
"대재이상","철학, 사상, 종교","","","","3.4","3","1.6","3.4","","","","0","","","","","","",
"대재이상","자기계발서","","","","","","","","","","","0","8.4","11.5","10.2","10","","",
"대재이상","취미,오락,여행,건강","","","","","","","","","","","0","14.6","10.7","10.4","10","","",
"대재이상","경제,경영","","","","","","","","","","","0","6.3","8.1","7.2","8.3","","",
"대재이상","정치,사회,시사","","","","","","","","","","","0","6.4","4.2","4.2","4.8","","",
"대재이상","어학, 외국어","","","","","1.8","2.4","3.5","","","","0","","","","3.7","","",
"대재이상","역사, 지리","","","","4.3","3.1","3.3","3.7","","","","0","","","","","","",
"대재이상","가정,육아,요리","","","","","","","","","","","0","4","5.7","5.2","5.5","","",
"대재이상","시","","","","1.7","4.6","2.8","1.5","","","","0","","","","","","",
"대재이상","책을 전혀 읽지 않는다","","","","","","","2.7","","","","0","","","","","","",
"대재이상","선호분야없음","","","","","3.2","3.5","","","","","0","","","","","","",
"대재이상","국내소설","","","","32.1","","","","","","","0","","","","","","",
"대재이상","추리소설","","","","6.4","5.1","7.4","3.6","","","","0","","","","","","",
"대재이상","외국소설","","","","10","","","","","","","0","","","","","","",
