"통계분류","항목","단위","1994 년","1995 년","1996 년","2002 년","2004 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2013 년","2015 년","2017 년","2019 년","2021 년",
"남성","시","","","","1.9","1.8","1.3","1.1","1.5","1.3","2.3","0","","","","","","2.8",
"남성","책을 전혀 읽지 않는다","","","","","","","9.9",".2","19.3","13.7","0","","","","","","",
"남성","선호분야없음","","","","","12.6","13.2","","","","","0","","","","","","",
"남성","국내소설","","","","30.1","","","","","","","0","","","","","","",
"남성","추리소설","","","","8.8","5.8","7.6","3.7","4.8","3.8","6.4","0","","","","","","",
"남성","외국소설","","","","5.8","","","","","","","0","","","","","","",
"남성","유모어·풍자","","","","3.4","","","","","","","0","","","","","","",
"남성","공상과학소설","","","","2.1","","","","","","","0","","","","","","",
"남성","과학,기술","","","","","","","","","","","0","1.2","","","","","",
"남성","시,소설,수필","","","","","","","","","","","0","22.5","","","","","",
"남성","무협,판타지,추리소설","","","","","","","","","","","0","11.6","","","","","",
"남성","예술,문화","","","","","","","","","","","0","2.5","3.1","3.1","3.4","","",
"남성","재테크,부동산","","","","","","","","","","","0","4","4.2","","3","","",
"남성","역사,지리","","","","","","","","","","","0","3.2","4","4.3","4.6","","",
"남성","어학,컴퓨터","","","","","","","","","","","0","1.6","3.2","","","","",
"남성","문학도서","","","","","37.1","34.7","32","31.6","31","36.5","36.6","","20.8","24.7","21.2","23.1","",
"남성","일반소설","","","","","20.6","17.2","17.3","17.3","17.8","16.5","0","","","","","","",
"남성","수기, 전기","","","","4.2","1.6","1.6","1.9","1.7","1.5","2.3","0","","","","","","",
"남성","동화","","","","",".3",".2","0",".3",".4",".5","0","","","","","","",
"남성","다큐멘터리","","","","6.6","2","2","2.4","2","1.3","3.1","0","","","","","","",
"남성","문학외교양","","","","","17.5","18.3","23.9","23.1","21.3","19.8","24.1","","","","","","",
"남성","경제, 경영","","","","4.5","4.6","5.8","6.9","9.2","9.8","6.8","0","","","","","","",
"남성","종교","","","","4.2","3.2","2.6","5.3","4.9","3.2","3","0","","","","","","",
"남성","과학, 기술","","","","2","1.9","1.4","2.1","1.7","1.5","2.4","0","","","","","","",
"남성","예술","","","",".9",".9",".6","1.4",".3",".8",".8","0","","","","","","",
"남성","법, 정치","","","","","1","1.5","1.5",".8","1.4","1.3","0","","","","","","",
"남성","실용, 취미도서류","","","","3.6","19.4","22.6","23.8","25","18.8","20.6","31.5","","","","","","",
"남성","요리","","","","",".2",".4",".2",".6",".3",".4","0","","","","","","",
"남성","건강, 다이어트","","","","","2.5","2.5","2.9","2.4","3.1","2.4","0","","","","","","",
"남성","여성, 육아","","","","",".1",".4",".2",".2",".3",".1","0","","","","","","",
"남성","취미","","","","","1.8","1.9","2.6","3","2.7","3.3","0","","","","","","",
"남성","연예, 오락","","","","","2.1","1.8","2.1","1.5",".7","1.5","0","","","","","","",
"남성","여행","","","","","1.2","1.5","1.7","2.2","1.3","1.6","0","","","","","","",
"남성","스포츠","","","",".6","4.2","5.4","4.1","3.5","2.7","3.4","0","","","","","","",
"남성","컴퓨터","","","","3.1","3.6","2.9","2.9","3",".8",".9","0","","","","","","",
"남성","만화, 무협지","","","","","11.9","10.6","9.6","10.5","8.6","9","0","","","","","","",
"남성","무협지, 판타지소설","","","","","7","5.7","6.7","7.5","5.3","6.4","0","","","","","","",
"남성","만화","","","","","4.9","4.9","2.9","3","3.3","2.6","0","","","","","","",
"남성","철학,사상,종교","","","","","","","","","","","0","9.7","11","9.9","10.1","8.5","",
"남성","기 타","","","","2.5","4.5",".7",".8",".6","1.1",".4","7.7",".3","","","","","",
"여성","사례수","","","","606","596","500","495","495","497","496","370","","729","1644","1852","1621","1236",
"여성","계","","","","","","","","","","","0","100","100","","100","","",
"여성","소설( 장르 소설 포함)","","","","","","","","","","","0","","9","12.5","12.8","14","31.1",
"여성","수필","","","","7.8","11.6","10.8","8.8","7.4","9.7","9.9","0","","","","","","13.9",
"여성","재테크","","","","","1","2.3","2","5","3.1","3.1","0","","","","","","5.8",
"여성","철학, 사상, 종교","","","","1.2","1.7","","1.9","1.7","1.3","1.6","0","","","","","","7.1",
"여성","자기계발서","","","","","","","","","","","0","7.2","9.5","8.6","9.1","9.4","6.8",
"여성","취미,오락,여행,건강","","","","","","","","","","","0","22.9","12.2","12.2","11.9","9.7","7.1",
"여성","경제,경영","","","","","","","","","","","0","2.5","2.7","4.2","4.5","3.6","3.5",
"여성","정치,사회,시사","","","","","","","","","","","0","2","2.2","2.6","2.9","1.5","2.5",
"여성","어학, 외국어","","","","",".6","1.3","1.9","1.6","1.3","1.3","0","","","","2.7","","4.7",
"여성","역사, 지리","","","","1.4","1.8","1.4","1.8","2.2","1.5",".9","0","","","","","","3.5",
"여성","가정,육아,요리","","","","","","","","","","","0","10.5","10.6","8.3","8.1","7.6","6.7",
"여성","시","","","","4","6.1","4","2.5","3.5","2.8","4.3","0","","","","","","4",
"여성","책을 전혀 읽지 않는다","","","","","","","13.5","9.8","13.4","14","0","","","","","","",
"여성","선호분야없음","","","","","10.7","10","","","","","0","","","","","","",
"여성","국내소설","","","","35.9","","","","","","","0","","","","","","",
"여성","추리소설","","","","4.8","5.2","5.2","3.5","3.8","3.5","4.9","0","","","","","","",
"여성","외국소설","","","","8.7","","","","","","","0","","","","","","",
"여성","유모어·풍자","","","","2.1","","","","","","","0","","","","","","",
"여성","공상과학소설","","","",".6","","","","","","","0","","","","","","",
"여성","과학,기술","","","","","","","","","","","0",".5","","","","","",
"여성","시,소설,수필","","","","","","","","","","","0","29.1","","","","","",
"여성","무협,판타지,추리소설","","","","","","","","","","","0","5.3","","","","","",
"여성","예술,문화","","","","","","","","","","","0","5.2","4.3","4.4","4.6","","",
"여성","재테크,부동산","","","","","","","","","","","0","3.7","2.4","","2.5","","",
"여성","역사,지리","","","","","","","","","","","0","2","2","2.9","3","","",
"여성","어학,컴퓨터","","","","","","","","","","","0","1.2","1.3","","","","",
"여성","문학도서","","","","","54.1","50.2","39.7","42","46.1","46.2","44.6","","32.3","29.3","26","35.6","",
"여성","일반소설","","","","","28.1","27.1","21","22.2","25","22","0","","","","","","",
"여성","수기, 전기","","","","8.9","1.6","2","1.9","1.1","2.8","2.7","0","","","","","","",
"여성","동화","","","","",".4",".3",".4","2.9","1.8","1.5","0","","","","","","",
"여성","다큐멘터리","","","","2.3","1.1",".8","1.6","1.1",".5",".9","0","","","","","","",
"여성","문학외교양","","","","","11.3","12.6","15.8","16.1","12.3","10.6","14.4","","","","","","",
"여성","경제, 경영","","","",".7",".9","1.4","2.5","2.7","2.2","1.8","0","","","","","","",
"여성","종교","","","","9","5.2","7.1","7.6","7.9","6.1","5.5","0","","","","","","",
"여성","과학, 기술","","","",".4",".3",".4",".4",".6",".3",".4","0","","","","","","",
"여성","예술","","","",".3","1.3","1","1.5",".8",".9",".4","0","","","","","","",
"여성","법, 정치","","","","",".1",".3",".1",".3","0",".1","0","","","","","","",
"여성","실용, 취미도서류","","","","4.4","18.2","22.6","27.2","27.8","24.2","25.8","37.3","","","","","","",
"여성","요리","","","","","2.5","1.5","2.1","3.8","3.1","2.9","0","","","","","","",
"여성","건강, 다이어트","","","","","3.8","4.5","5.5","6.2","3.7","4.5","0","","","","","","",
"여성","여성, 육아","","","","","3.5","5.1","7.2","3.1","5.7","5.6","0","","","","","","",
"여성","취미","","","","","1.3","1.3","1.8","2.4","2.2","2.4","0","","","","","","",
"여성","연예, 오락","","","","","3.9","4.2","2.3","3.6","2.8","3.4","0","","","","","","",
"여성","여행","","","","",".6","1.1","2.5","1.7","2","1.9","0","","","","","","",
"여성","스포츠","","","",".1",".6",".3","1.1",".2","0",".1","0","","","","","","",
"여성","컴퓨터","","","",".3",".4","1",".8",".3",".3",".6","0","","","","","","",
"여성","만화, 무협지","","","","","4.5","4","3","2.6","2.8","2.5","0","","","","","","",
"여성","무협지, 판타지소설","","","","","2","1.5","1.6","1.2","1.7","1.7","0","","","","","","",
"여성","만화","","","","","2.5","2.5","1.4","1.4","1.1",".8","0","","","","","","",
"여성","철학,사상,종교","","","","","","","","","","","0","7.7","10.8","9.9","10.5","8.7","",
"여성","기 타","","","","4.3","4.5",".6",".7","1.7","1.2",".9","3.7",".2","","","","","",
"19~29세","사례수","","","","","","","","","","","","","","789","787","744","613",
"19~29세","계","","","","","","","","","","","","","","","100","","",
"19~29세","소설( 장르 소설 포함)","","","","","","","","","","","","","","15.6","17.7","20","30.6",
"19~29세","수필","","","","","","","","","","","","","","","","","9.8",
"19~29세","재테크","","","","","","","","","","","","","","","","","5.8",
"19~29세","철학, 사상, 종교","","","","","","","","","","","","","","","","","3.2",
"19~29세","자기계발서","","","","","","","","","","","","","","12","11.7","12","11.1",
"19~29세","취미,오락,여행,건강","","","","","","","","","","","","","","9.4","8","7.1","3.6",
"19~29세","경제,경영","","","","","","","","","","","","","","6","8.4","7","5.8",
"19~29세","정치,사회,시사","","","","","","","","","","","","","","3.8","4","3.9","3.9",
"19~29세","어학, 외국어","","","","","","","","","","","","","","","5.9","","12.2",
"19~29세","역사, 지리","","","","","","","","","","","","","","","","","3.4",
"19~29세","가정,육아,요리","","","","","","","","","","","","","","2.8","1.8","1.5","1.7",
"19~29세","시","","","","","","","","","","","","","","","","","1.9",
"19~29세","예술,문화","","","","","","","","","","","","","","4.4","5.6","","",
"19~29세","재테크,부동산","","","","","","","","","","","","","","","1.3","","",
"19~29세","역사,지리","","","","","","","","","","","","","","3.6","2.8","","",
"19~29세","문학도서","","","","","","","","","","","","","","28.5","24.2","31.8","",
"19~29세","철학,사상,종교","","","","","","","","","","","","","","7.6","5.4","3.7","",
"20대 이하","사례수","","370","372","327","390","332","255","255","244","244","196","","341","","","","",
"20대 이하","계","","","","","","","","","","","0","100","100","","","","",
"20대 이하","소설( 장르 소설 포함)","","","","","","","","","","","0","","13.1","","","","",
"20대 이하","수필","","7.2","4.7","7.1","7.4","8.1","7","4.2","7.2","7.1","0","","","","","","",
"20대 이하","재테크","","","","",".4","2.2","1.9","3.5","3","3","0","","","","","","",
"20대 이하","철학, 사상, 종교","","2.3","2.3","2.7","1.7","1.9","2.9","2.6","1.1","2.6","0","","","","","","",
